=== RISC-V System/CSR Instructions Scan Results ===

--- Known CSR Instructions ---
Offset	Instruction	Decoded Instruction	Privilege Level	Use and Accessibility
----------	----------	------------------	--------------	-------------------
0x000011BC	0xEFF0DFF3	CSRRWI (rd=x31, csr=0xEFF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x00001424	0x6FF05FF3	CSRRWI (rd=x31, csr=0x6FF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x00001A6C	0xEFF0DFF3	CSRRWI (rd=x31, csr=0xEFF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x00002A78	0xEFE01FF3	CSRRW (rd=x31, csr=0xEFE, rs1/x=0)	Hypervisor and VS	Custom read/write
0x0000303C	0x6FF05FF3	CSRRWI (rd=x31, csr=0x6FF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x00003F98	0x6FF05FF3	CSRRWI (rd=x31, csr=0x6FF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x0000571C	0xE3EA67F3	CSRRSI (rd=x15, csr=0xE3E, rs1/x=20)	Hypervisor and VS	Standard read-only
0x00005724	0xE3E667F3	CSRRSI (rd=x15, csr=0xE3E, rs1/x=12)	Hypervisor and VS	Standard read-only
0x00005D28	0xEFF0DFF3	CSRRWI (rd=x31, csr=0xEFF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x000074A4	0xEFF05FF3	CSRRWI (rd=x31, csr=0xEFF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x00007B58	0x6FF01FF3	CSRRW (rd=x31, csr=0x6FF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x00008540	0x6FF0DFF3	CSRRWI (rd=x31, csr=0x6FF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x00009854	0xEF20D173	CSRRWI (rd=x2, csr=0xEF2, rs1/x=1)	Hypervisor and VS	Custom read/write
0x0000A7FC	0xEFF01FF3	CSRRW (rd=x31, csr=0xEFF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x0000C348	0x6FF0DFF3	CSRRWI (rd=x31, csr=0x6FF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x0000C368	0x6FF01FF3	CSRRW (rd=x31, csr=0x6FF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x0000D2DC	0x6FF05FF3	CSRRWI (rd=x31, csr=0x6FF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x00010808	0xEFF0DFF3	CSRRWI (rd=x31, csr=0xEFF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x00010ACC	0xEFF0DFF3	CSRRWI (rd=x31, csr=0xEFF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x00010D78	0xEFF01FF3	CSRRW (rd=x31, csr=0xEFF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x000129A0	0x6FF0DFF3	CSRRWI (rd=x31, csr=0x6FF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x00013BD4	0x6FF0DFF3	CSRRWI (rd=x31, csr=0x6FF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x00013DA4	0x6FF05FF3	CSRRWI (rd=x31, csr=0x6FF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x000148F4	0x6FF09FF3	CSRRW (rd=x31, csr=0x6FF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x00014D64	0x6FF01FF3	CSRRW (rd=x31, csr=0x6FF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x000170E0	0x6FF09FF3	CSRRW (rd=x31, csr=0x6FF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x00017BA0	0xEFF01FF3	CSRRW (rd=x31, csr=0xEFF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x00019268	0xEFF01FF3	CSRRW (rd=x31, csr=0xEFF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x00019A54	0xEF305073	CSRRWI (rd=x0, csr=0xEF3, rs1/x=0)	Hypervisor and VS	Custom read/write
0x0001B190	0x6FF05FF3	CSRRWI (rd=x31, csr=0x6FF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x0001E140	0xEFF0DFF3	CSRRWI (rd=x31, csr=0xEFF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x0001EAC4	0xEFE09FF3	CSRRW (rd=x31, csr=0xEFE, rs1/x=1)	Hypervisor and VS	Custom read/write
0x0001EACC	0xEFE01FF3	CSRRW (rd=x31, csr=0xEFE, rs1/x=0)	Hypervisor and VS	Custom read/write
0x00020E0C	0x6FF05FF3	CSRRWI (rd=x31, csr=0x6FF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x00021304	0xEFF05FF3	CSRRWI (rd=x31, csr=0xEFF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x00021E68	0xEF109073	CSRRW (rd=x0, csr=0xEF1, rs1/x=1)	Hypervisor and VS	Custom read/write
0x00022444	0x6FF0DFF3	CSRRWI (rd=x31, csr=0x6FF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x000236C0	0x6FF05FF3	CSRRWI (rd=x31, csr=0x6FF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x00025108	0x6FF0DFF3	CSRRWI (rd=x31, csr=0x6FF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x00025CBC	0x6FF09FF3	CSRRW (rd=x31, csr=0x6FF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x00025CC0	0xE3EA57F3	CSRRWI (rd=x15, csr=0xE3E, rs1/x=20)	Hypervisor and VS	Standard read-only
0x0002899C	0xEFF09FF3	CSRRW (rd=x31, csr=0xEFF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x00029804	0x9386B6F3	CSRRC (rd=x13, csr=0x938, rs1/x=13)	Supervisor-Level	Standard read/write
0x0002A210	0x6FF05FF3	CSRRWI (rd=x31, csr=0x6FF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x0002AAA4	0x6FF01FF3	CSRRW (rd=x31, csr=0x6FF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x0002DBF8	0xEFF09FF3	CSRRW (rd=x31, csr=0xEFF, rs1/x=1)	Hypervisor and VS	Custom read/write
